,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
0,976047.0,20090.0,3314.0,289.0,208.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1000019.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,872858.0,50385.0,46676.0,29954.0,60.0,56.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
3,915747.0,77212.0,4469.0,2149.0,296.0,138.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
4,795390.0,204567.0,30.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,823453.0,176459.0,104.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,426967.0,322420.0,249565.0,506.0,353.0,206.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
7,794737.0,170262.0,30055.0,3380.0,1583.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,957271.0,39608.0,3039.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,733527.0,193920.0,69925.0,912.0,664.0,627.0,338.0,92.0,5.0,3.0,3.0,3.0,1.0
10,999715.0,304.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,646593.0,296327.0,39518.0,13149.0,3632.0,505.0,163.0,93.0,38.0,2.0,0.0,0.0,0.0
12,553943.0,409094.0,35996.0,928.0,54.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,903013.0,94284.0,2214.0,397.0,58.0,29.0,12.0,11.0,2.0,0.0,0.0,0.0,0.0
14,988596.0,10493.0,902.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,919471.0,71364.0,6504.0,2366.0,235.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,983138.0,12875.0,3881.0,112.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,916847.0,70138.0,11039.0,1790.0,164.0,34.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0
18,681844.0,165805.0,151918.0,443.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,746538.0,161208.0,75225.0,9523.0,7526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
