,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
0,969912.0,15237.0,14260.0,424.0,112.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1000019.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,800350.0,91025.0,56859.0,51024.0,625.0,77.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
3,912363.0,73261.0,7301.0,6345.0,584.0,153.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0
4,794704.0,204890.0,384.0,32.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,821371.0,177811.0,818.0,17.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,426453.0,327853.0,243812.0,838.0,833.0,225.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
7,721213.0,161642.0,100263.0,15315.0,1584.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,953124.0,43753.0,2848.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,626004.0,224541.0,144641.0,3016.0,1189.0,454.0,79.0,53.0,27.0,7.0,5.0,3.0,1.0
10,999663.0,355.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,634230.0,264461.0,77604.0,13830.0,7614.0,1971.0,160.0,114.0,34.0,2.0,0.0,0.0,0.0
12,552858.0,403613.0,42548.0,930.0,64.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,873801.0,123143.0,2274.0,673.0,59.0,36.0,18.0,14.0,2.0,0.0,0.0,0.0,0.0
14,981042.0,11394.0,7555.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,883597.0,102690.0,9480.0,3553.0,567.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,879379.0,115526.0,4988.0,111.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,907091.0,76638.0,11980.0,4102.0,124.0,77.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0
18,681351.0,166250.0,151151.0,1255.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,721108.0,98355.0,83871.0,82918.0,13768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
